rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord
20200330003296,11011,2019,00842619,141080,OFS,재무제표,BS,재무상태표,자본총계,제 14 기,2019.12.31 현재,"119,879,324,520",제 13 기,2018.12.31 현재,"105,660,696,325",제 12 기,2017.12.31 현재,"53,103,145,648",22
20200330003296,11011,2019,00842619,141080,OFS,재무제표,IS,손익계산서,매출액,제 14 기,2019.01.01 ~ 2019.12.31,"54,521,911,779",제 13 기,2018.01.01 ~ 2018.12.31,"22,884,675,880",제 12 기,2017.01.01 ~ 2017.12.31,"20,876,264,497",24
20200330003296,11011,2019,00842619,141080,OFS,재무제표,IS,손익계산서,영업이익,제 14 기,2019.01.01 ~ 2019.12.31,"11,811,719,211",제 13 기,2018.01.01 ~ 2018.12.31,"-13,941,025,158",제 12 기,2017.01.01 ~ 2017.12.31,"-8,099,205,818",26
20200330003296,11011,2019,00842619,141080,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2019.01.01 ~ 2019.12.31,"16,629,674,668",제 13 기,2018.01.01 ~ 2018.12.31,"-25,251,520,690",제 12 기,2017.01.01 ~ 2017.12.31,"-8,857,202,720",28
20200330003296,11011,2019,00842619,141080,OFS,재무제표,IS,손익계산서,당기순이익,제 14 기,2019.01.01 ~ 2019.12.31,"16,003,663,757",제 13 기,2018.01.01 ~ 2018.12.31,"-24,897,430,448",제 12 기,2017.01.01 ~ 2017.12.31,"-8,292,905,114",30
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2019.12.31 현재,"41,027,069,132",제 21 기,2018.12.31 현재,"18,189,090,691",제 20 기,2017.12.31 현재,"3,992,180,403",1
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2019.12.31 현재,"45,154,726,739",제 21 기,2018.12.31 현재,"12,803,528,570",제 20 기,2017.12.31 현재,"7,060,380,879",3
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2019.12.31 현재,"86,181,795,871",제 21 기,2018.12.31 현재,"30,992,619,261",제 20 기,2017.12.31 현재,"11,052,561,282",5
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2019.12.31 현재,"41,170,974,369",제 21 기,2018.12.31 현재,"20,023,785,292",제 20 기,2017.12.31 현재,"1,506,556,389",7
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2019.12.31 현재,"19,067,573,849",제 21 기,2018.12.31 현재,"370,595,943",제 20 기,2017.12.31 현재,"177,345,000",9
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2019.12.31 현재,"60,238,548,218",제 21 기,2018.12.31 현재,"20,394,381,235",제 20 기,2017.12.31 현재,"1,683,901,389",11
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2019.12.31 현재,"5,023,282,000",제 21 기,2018.12.31 현재,"4,690,770,000",제 20 기,2017.12.31 현재,"1,563,590,000",13
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2019.12.31 현재,"-6,631,612,006",제 21 기,2018.12.31 현재,"1,562,406,251",제 20 기,2017.12.31 현재,"2,491,963,858",17
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2019.12.31 현재,"25,943,247,653",제 21 기,2018.12.31 현재,"10,598,238,026",제 20 기,2017.12.31 현재,"9,368,659,893",21
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2019.01.01 ~ 2019.12.31,"6,299,597,001",제 21 기,2018.01.01 ~ 2018.12.31,"4,188,910,030",제 20 기,2017.01.01 ~ 2017.12.31,"3,369,955,509",23
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기,2019.01.01 ~ 2019.12.31,"-3,489,008,268",제 21 기,2018.01.01 ~ 2018.12.31,"-856,264,513",제 20 기,2017.01.01 ~ 2017.12.31,"11,979,342",25
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2019.01.01 ~ 2019.12.31,"-9,135,390,117",제 21 기,2018.01.01 ~ 2018.12.31,"-1,214,815,019",제 20 기,2017.01.01 ~ 2017.12.31,"25,381,790",27
20200330002603,11011,2019,01084364,208860,CFS,연결재무제표,IS,손익계산서,당기순이익,제 22 기,2019.01.01 ~ 2019.12.31,"-8,358,887,260",제 21 기,2018.01.01 ~ 2018.12.31,"-962,453,971",제 20 기,2017.01.01 ~ 2017.12.31,"15,687,611",29
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,유동자산,제 22 기,2019.12.31 현재,"9,741,423,194",제 21 기,2018.12.31 현재,"18,189,090,691",제 20 기,2017.12.31 현재,"3,992,180,403",2
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,비유동자산,제 22 기,2019.12.31 현재,"44,731,926,500",제 21 기,2018.12.31 현재,"12,803,528,570",제 20 기,2017.12.31 현재,"7,060,380,879",4
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,자산총계,제 22 기,2019.12.31 현재,"54,473,349,694",제 21 기,2018.12.31 현재,"30,992,619,261",제 20 기,2017.12.31 현재,"11,052,561,282",6
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,유동부채,제 22 기,2019.12.31 현재,"37,027,514,152",제 21 기,2018.12.31 현재,"20,023,785,292",제 20 기,2017.12.31 현재,"1,506,556,389",8
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,비유동부채,제 22 기,2019.12.31 현재,"8,338,745,662",제 21 기,2018.12.31 현재,"370,595,943",제 20 기,2017.12.31 현재,"177,345,000",10
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,부채총계,제 22 기,2019.12.31 현재,"45,366,259,814",제 21 기,2018.12.31 현재,"20,394,381,235",제 20 기,2017.12.31 현재,"1,683,901,389",12
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,자본금,제 22 기,2019.12.31 현재,"5,023,282,000",제 21 기,2018.12.31 현재,"4,690,770,000",제 20 기,2017.12.31 현재,"1,563,590,000",15
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,이익잉여금,제 22 기,2019.12.31 현재,"-7,117,121,043",제 21 기,2018.12.31 현재,"1,562,406,251",제 20 기,2017.12.31 현재,"2,491,963,858",19
20200330002603,11011,2019,01084364,208860,OFS,재무제표,BS,재무상태표,자본총계,제 22 기,2019.12.31 현재,"9,107,089,880",제 21 기,2018.12.31 현재,"10,598,238,026",제 20 기,2017.12.31 현재,"9,368,659,893",22
20200330002603,11011,2019,01084364,208860,OFS,재무제표,IS,손익계산서,매출액,제 22 기,2019.01.01 ~ 2019.12.31,"4,265,216,820",제 21 기,2018.01.01 ~ 2018.12.31,"4,188,910,030",제 20 기,2017.01.01 ~ 2017.12.31,"3,369,955,509",24
20200330002603,11011,2019,01084364,208860,OFS,재무제표,IS,손익계산서,영업이익,제 22 기,2019.01.01 ~ 2019.12.31,"-3,869,509,494",제 21 기,2018.01.01 ~ 2018.12.31,"-856,264,513",제 20 기,2017.01.01 ~ 2017.12.31,"11,979,342",26
20200330002603,11011,2019,01084364,208860,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2019.01.01 ~ 2019.12.31,"-9,868,604,139",제 21 기,2018.01.01 ~ 2018.12.31,"-1,214,815,019",제 20 기,2017.01.01 ~ 2017.12.31,"25,381,790",28
20200330002603,11011,2019,01084364,208860,OFS,재무제표,IS,손익계산서,당기순이익,제 22 기,2019.01.01 ~ 2019.12.31,"-8,678,840,622",제 21 기,2018.01.01 ~ 2018.12.31,"-962,453,971",제 20 기,2017.01.01 ~ 2017.12.31,"15,687,611",30
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,유동자산,제 5 기,2019.12.31 현재,"632,440,904",제 4 기,2018.12.31 현재,"554,977,960",제 3 기,2017.12.31 현재,"296,591,645",1
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,비유동자산,제 5 기,2019.12.31 현재,"129,066,101",제 4 기,2018.12.31 현재,"121,221,939",제 3 기,2017.12.31 현재,"126,799,530",3
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,자산총계,제 5 기,2019.12.31 현재,"761,507,005",제 4 기,2018.12.31 현재,"676,199,899",제 3 기,2017.12.31 현재,"423,391,175",5
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,유동부채,제 5 기,2019.12.31 현재,"141,611,830",제 4 기,2018.12.31 현재,"148,726,433",제 3 기,2017.12.31 현재,"144,290,247",7
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,비유동부채,제 5 기,2019.12.31 현재,"15,646,605",제 4 기,2018.12.31 현재,"11,414,523",제 3 기,2017.12.31 현재,"4,452,605",9
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,부채총계,제 5 기,2019.12.31 현재,"157,258,435",제 4 기,2018.12.31 현재,"160,140,956",제 3 기,2017.12.31 현재,"148,742,852",11
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,자본금,제 5 기,2019.12.31 현재,"198,402,568",제 4 기,2018.12.31 현재,"160,047,736",제 3 기,2017.12.31 현재,"39,000,125",13
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 5 기,2019.12.31 현재,"405,846,002",제 4 기,2018.12.31 현재,"356,011,207",제 3 기,2017.12.31 현재,"235,648,198",17
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,BS,재무상태표,자본총계,제 5 기,2019.12.31 현재,"604,248,570",제 4 기,2018.12.31 현재,"516,058,943",제 3 기,2017.12.31 현재,"274,648,323",21
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,IS,손익계산서,매출액,제 5 기,2019.01.01 ~ 2019.12.31,"661,962,917",제 4 기,2018.01.01 ~ 2018.12.31,"577,977,424",제 3 기,2017.01.01 ~ 2017.12.31,"501,457,826",23
