rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord
20210615000295,11011,2021,00490090,099750,OFS,재무제표,BS,재무상태표,자본총계,제 21 기,2021.03.31 현재,"33,880,878,472",제 20 기,2020.03.31 현재,"41,508,689,220",제 19 기,2019.03.31 현재,"46,101,046,210",22
20210615000295,11011,2021,00490090,099750,OFS,재무제표,IS,손익계산서,매출액,제 21 기,2020.04.01 ~ 2021.03.31,"76,752,276,298",제 20 기,2019.04.01 ~ 2020.03.31,"64,646,706,661",제 19 기,2018.04.01 ~ 2019.03.31,"55,711,173,834",24
20210615000295,11011,2021,00490090,099750,OFS,재무제표,IS,손익계산서,영업이익,제 21 기,2020.04.01 ~ 2021.03.31,"-3,280,480,125",제 20 기,2019.04.01 ~ 2020.03.31,"-1,751,368,681",제 19 기,2018.04.01 ~ 2019.03.31,"3,660,817,248",26
20210615000295,11011,2021,00490090,099750,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 21 기,2020.04.01 ~ 2021.03.31,"-7,607,530,637",제 20 기,2019.04.01 ~ 2020.03.31,"-920,840,318",제 19 기,2018.04.01 ~ 2019.03.31,"4,436,343,955",28
20210615000295,11011,2021,00490090,099750,OFS,재무제표,IS,손익계산서,당기순이익,제 21 기,2020.04.01 ~ 2021.03.31,"-7,918,870,348",제 20 기,2019.04.01 ~ 2020.03.31,"-990,868,332",제 19 기,2018.04.01 ~ 2019.03.31,"3,900,832,471",30
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,유동자산,제 6 기,2021.03.31 현재,"31,899,935,510",제 5 기,2020.09.30 현재,"40,423,312,494",제 4 기,2020.03.31 현재,"19,818,825,983",1
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,비유동자산,제 6 기,2021.03.31 현재,"1,501,536,288,189",제 5 기,2020.09.30 현재,"1,338,341,109,661",제 4 기,2020.03.31 현재,"790,006,659,505",3
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,자산총계,제 6 기,2021.03.31 현재,"1,533,436,223,699",제 5 기,2020.09.30 현재,"1,378,764,422,155",제 4 기,2020.03.31 현재,"809,825,485,488",5
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,유동부채,제 6 기,2021.03.31 현재,"205,853,807,153",제 5 기,2020.09.30 현재,"155,048,437,274",제 4 기,2020.03.31 현재,"33,381,588,914",7
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,비유동부채,제 6 기,2021.03.31 현재,"974,076,848,303",제 5 기,2020.09.30 현재,"866,813,532,827",제 4 기,2020.03.31 현재,"498,484,683,764",9
