rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,ord,thstrm_add_amount,frmtrm_add_amount
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,BS,재무상태표,유동자산,제 20 기반기말,2021.01.31 현재,"22,578,262,762",제 19 기말,2020.07.31 현재,"27,627,286,835",1,,
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,BS,재무상태표,비유동자산,제 20 기반기말,2021.01.31 현재,"3,459,161,298",제 19 기말,2020.07.31 현재,"3,659,419,366",3,,
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,BS,재무상태표,자산총계,제 20 기반기말,2021.01.31 현재,"26,037,424,060",제 19 기말,2020.07.31 현재,"31,286,706,201",5,,
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,BS,재무상태표,유동부채,제 20 기반기말,2021.01.31 현재,"2,355,474,696",제 19 기말,2020.07.31 현재,"1,614,036,290",7,,
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,BS,재무상태표,비유동부채,제 20 기반기말,2021.01.31 현재,"384,398,018",제 19 기말,2020.07.31 현재,"428,939,993",9,,
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,BS,재무상태표,부채총계,제 20 기반기말,2021.01.31 현재,"2,739,872,714",제 19 기말,2020.07.31 현재,"2,042,976,283",11,,
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 20 기반기말,2021.01.31 현재,"3,690,044,090",제 19 기말,2020.07.31 현재,"10,148,506,844",17,,
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,BS,재무상태표,자본총계,제 20 기반기말,2021.01.31 현재,"23,297,551,346",제 19 기말,2020.07.31 현재,"29,243,729,918",21,,
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,IS,손익계산서,매출액,제 20 기반기,2020.08.01 ~ 2021.01.31,"1,557,586,074",제 19 기반기,2019.08.01 ~ 2020.01.31,"1,814,334,587",23,"3,000,737,410","3,409,090,100"
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,IS,손익계산서,영업이익,제 20 기반기,2020.08.01 ~ 2021.01.31,"-163,055,746",제 19 기반기,2019.08.01 ~ 2020.01.31,"608,922,697",25,"-319,840,821","1,325,837,776"
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기반기,2020.08.01 ~ 2021.01.31,"-58,824,392",제 19 기반기,2019.08.01 ~ 2020.01.31,"675,260,193",27,"-504,253,243","1,435,590,362"
20210330001449,11012,2021,01338724,950180,CFS,연결재무제표,IS,손익계산서,당기순이익,제 20 기반기,2020.08.01 ~ 2021.01.31,"-67,375,532",제 19 기반기,2019.08.01 ~ 2020.01.31,"555,833,857",29,"-493,371,472","1,158,321,886"
20210330001449,11012,2021,01338724,950180,OFS,재무제표,BS,재무상태표,유동자산,제 20 기반기말,2021.01.31 현재,"18,686,582,923",제 19 기말,2020.07.31 현재,"24,324,165,902",2,,
20210330001449,11012,2021,01338724,950180,OFS,재무제표,BS,재무상태표,비유동자산,제 20 기반기말,2021.01.31 현재,"4,903,458,328",제 19 기말,2020.07.31 현재,"4,947,549,831",4,,
20210330001449,11012,2021,01338724,950180,OFS,재무제표,BS,재무상태표,자산총계,제 20 기반기말,2021.01.31 현재,"23,590,041,251",제 19 기말,2020.07.31 현재,"29,271,715,733",6,,
20210330001449,11012,2021,01338724,950180,OFS,재무제표,BS,재무상태표,유동부채,제 20 기반기말,2021.01.31 현재,"1,089,711,297",제 19 기말,2020.07.31 현재,"914,877,533",8,,
20210330001449,11012,2021,01338724,950180,OFS,재무제표,BS,재무상태표,비유동부채,제 20 기반기말,2021.01.31 현재,"166,298,512",제 19 기말,2020.07.31 현재,"61,978,642",10,,
