rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,ord,thstrm_add_amount,frmtrm_add_amount
20210531001576,11014,2021,01170962,900290,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기3분기,2020.07.01 ~ 2021.03.31,"87,615,308",제 8 기3분기,2019.07.01 ~ 2020.03.31,"61,906,290",27,"246,168,024","297,815,556"
20210531001576,11014,2021,01170962,900290,CFS,연결재무제표,IS,손익계산서,당기순이익,제 9 기3분기,2020.07.01 ~ 2021.03.31,"74,534,880",제 8 기3분기,2019.07.01 ~ 2020.03.31,"52,052,561",29,"209,276,883","249,808,313"
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,유동자산,제 18 기3분기말,2021.03.31 현재,"14,128,599,579",제 17 기말,2020.06.30 현재,"25,060,810,339",1,,
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,비유동자산,제 18 기3분기말,2021.03.31 현재,"19,261,897,212",제 17 기말,2020.06.30 현재,"25,487,400,048",3,,
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,자산총계,제 18 기3분기말,2021.03.31 현재,"33,390,496,791",제 17 기말,2020.06.30 현재,"50,548,210,387",5,,
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,유동부채,제 18 기3분기말,2021.03.31 현재,"13,655,904,078",제 17 기말,2020.06.30 현재,"41,070,278,610",7,,
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,비유동부채,제 18 기3분기말,2021.03.31 현재,"21,059,832,449",제 17 기말,2020.06.30 현재,"5,753,198,707",9,,
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,부채총계,제 18 기3분기말,2021.03.31 현재,"34,715,736,527",제 17 기말,2020.06.30 현재,"46,823,477,317",11,,
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,자본금,제 18 기3분기말,2021.03.31 현재,"30,068,102,000",제 17 기말,2020.06.30 현재,"15,068,102,000",13,,
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 18 기3분기말,2021.03.31 현재,"-47,148,996,483",제 17 기말,2020.06.30 현재,"-42,091,261,143",17,,
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,BS,재무상태표,자본총계,제 18 기3분기말,2021.03.31 현재,"-1,325,239,736",제 17 기말,2020.06.30 현재,"3,724,733,070",21,,
